,Attacker,Graph size,Episode lengths,Returns
0,well-informed,7,101,-40649
1,well-informed,7,78,-2278
2,well-informed,7,334,-25094
3,well-informed,7,116,-1532
4,well-informed,7,157,-12926
5,well-informed,7,146,-1132
6,well-informed,7,169,-40642
7,well-informed,7,178,-15351
8,well-informed,7,20,-898
9,well-informed,7,278,-2008
10,well-informed,7,56,-3350
11,well-informed,7,88,-9983
12,well-informed,7,172,-10978
13,well-informed,7,138,-38152
14,well-informed,7,220,-3238
15,well-informed,7,73,-9069
16,well-informed,7,59,-6583
17,well-informed,7,31,-8431
18,well-informed,7,77,-17150
19,well-informed,7,33,-362
20,well-informed,7,154,-8783
21,well-informed,7,81,-7999
22,well-informed,7,28,-5863
23,well-informed,7,92,-12321
24,well-informed,7,36,-19580
25,well-informed,7,489,-3901
26,well-informed,7,267,-10359
27,well-informed,7,98,-4477
28,well-informed,7,10,-5585
29,well-informed,7,57,-6401
30,well-informed,7,120,-4065
31,well-informed,7,45,-8179
32,well-informed,7,71,-2327
33,well-informed,7,142,-659
34,well-informed,7,297,-2266
35,well-informed,7,97,-3792
36,well-informed,7,102,-5485
37,well-informed,7,130,-850
38,well-informed,7,98,-3975
39,well-informed,7,59,-27843
40,well-informed,7,65,-5182
41,well-informed,7,160,-6193
42,well-informed,7,85,-1442
43,well-informed,7,265,-35518
44,well-informed,7,170,-2271
45,well-informed,7,214,-18906
46,well-informed,7,70,-37145
47,well-informed,7,58,-17343
48,well-informed,7,224,-410
49,well-informed,7,185,-4246
50,informed,7,101,-40649
51,informed,7,78,-2278
52,informed,7,334,-25094
53,informed,7,116,-1532
54,informed,7,157,-12926
55,informed,7,146,-1132
56,informed,7,169,-40642
57,informed,7,178,-15351
58,informed,7,20,-898
59,informed,7,278,-2008
60,informed,7,56,-3350
61,informed,7,88,-9983
62,informed,7,172,-10978
63,informed,7,138,-38152
64,informed,7,220,-3238
65,informed,7,73,-9069
66,informed,7,59,-6583
67,informed,7,31,-8431
68,informed,7,77,-17150
69,informed,7,33,-362
70,informed,7,154,-8783
71,informed,7,81,-7999
72,informed,7,28,-5863
73,informed,7,92,-12321
74,informed,7,36,-19580
75,informed,7,489,-3901
76,informed,7,267,-10359
77,informed,7,98,-4477
78,informed,7,10,-5585
79,informed,7,57,-6401
80,informed,7,120,-4065
81,informed,7,45,-8179
82,informed,7,71,-2327
83,informed,7,142,-659
84,informed,7,297,-2266
85,informed,7,97,-3792
86,informed,7,102,-5485
87,informed,7,130,-850
88,informed,7,98,-3975
89,informed,7,59,-27843
90,informed,7,65,-5182
91,informed,7,160,-6193
92,informed,7,85,-1442
93,informed,7,265,-35518
94,informed,7,170,-2271
95,informed,7,214,-18906
96,informed,7,70,-37145
97,informed,7,58,-17343
98,informed,7,224,-410
99,informed,7,185,-4246
100,round-robin,7,101,-40649
101,round-robin,7,78,-2278
102,round-robin,7,334,-25094
103,round-robin,7,116,-1532
104,round-robin,7,157,-12926
105,round-robin,7,146,-1132
106,round-robin,7,169,-40642
107,round-robin,7,178,-15351
108,round-robin,7,20,-898
109,round-robin,7,278,-2008
110,round-robin,7,56,-3350
111,round-robin,7,88,-9983
112,round-robin,7,172,-10978
113,round-robin,7,138,-38152
114,round-robin,7,220,-3238
115,round-robin,7,73,-9069
116,round-robin,7,59,-6583
117,round-robin,7,31,-8431
118,round-robin,7,77,-17150
119,round-robin,7,33,-362
120,round-robin,7,154,-8783
121,round-robin,7,81,-7999
122,round-robin,7,28,-5863
123,round-robin,7,92,-12321
124,round-robin,7,36,-19580
125,round-robin,7,489,-3901
126,round-robin,7,267,-10359
127,round-robin,7,98,-4477
128,round-robin,7,10,-5585
129,round-robin,7,57,-6401
130,round-robin,7,120,-4065
131,round-robin,7,45,-8179
132,round-robin,7,71,-2327
133,round-robin,7,142,-659
134,round-robin,7,297,-2266
135,round-robin,7,97,-3792
136,round-robin,7,102,-5485
137,round-robin,7,130,-850
138,round-robin,7,98,-3975
139,round-robin,7,59,-27843
140,round-robin,7,65,-5182
141,round-robin,7,160,-6193
142,round-robin,7,85,-1442
143,round-robin,7,265,-35518
144,round-robin,7,170,-2271
145,round-robin,7,214,-18906
146,round-robin,7,70,-37145
147,round-robin,7,58,-17343
148,round-robin,7,224,-410
149,round-robin,7,185,-4246
150,random,7,101,-40649
151,random,7,78,-2278
152,random,7,334,-25094
153,random,7,116,-1532
154,random,7,157,-12926
155,random,7,146,-1132
156,random,7,169,-40642
157,random,7,178,-15351
158,random,7,20,-898
159,random,7,278,-2008
160,random,7,56,-3350
161,random,7,88,-9983
162,random,7,172,-10978
163,random,7,138,-38152
164,random,7,220,-3238
165,random,7,73,-9069
166,random,7,59,-6583
167,random,7,31,-8431
168,random,7,77,-17150
169,random,7,33,-362
170,random,7,154,-8783
171,random,7,81,-7999
172,random,7,28,-5863
173,random,7,92,-12321
174,random,7,36,-19580
175,random,7,489,-3901
176,random,7,267,-10359
177,random,7,98,-4477
178,random,7,10,-5585
179,random,7,57,-6401
180,random,7,120,-4065
181,random,7,45,-8179
182,random,7,71,-2327
183,random,7,142,-659
184,random,7,297,-2266
185,random,7,97,-3792
186,random,7,102,-5485
187,random,7,130,-850
188,random,7,98,-3975
189,random,7,59,-27843
190,random,7,65,-5182
191,random,7,160,-6193
192,random,7,85,-1442
193,random,7,265,-35518
194,random,7,170,-2271
195,random,7,214,-18906
196,random,7,70,-37145
197,random,7,58,-17343
198,random,7,224,-410
199,random,7,185,-4246
200,well-informed,27,962,-97509
201,well-informed,27,617,-73650
202,well-informed,27,243,-82224
203,well-informed,27,1008,-73650
204,well-informed,27,1173,-138022
205,well-informed,27,342,-76015
206,well-informed,27,197,-44455
207,well-informed,27,456,-107198
208,well-informed,27,498,-126169
209,well-informed,27,598,-48027
210,well-informed,27,508,-33712
211,well-informed,27,380,-63444
212,well-informed,27,526,-48462
213,well-informed,27,230,-133901
214,well-informed,27,317,-113529
215,well-informed,27,483,-28441
216,well-informed,27,409,-68641
217,well-informed,27,804,-68723
218,well-informed,27,687,-45547
219,well-informed,27,300,-77448
220,well-informed,27,404,-94615
221,well-informed,27,514,-87786
222,well-informed,27,608,-89528
223,well-informed,27,553,-61671
224,well-informed,27,344,-60536
225,well-informed,27,724,-52057
226,well-informed,27,626,-75397
227,well-informed,27,827,-58899
228,well-informed,27,370,-71862
229,well-informed,27,322,-62295
230,well-informed,27,372,-56551
231,well-informed,27,293,-60698
232,well-informed,27,693,-129451
233,well-informed,27,661,-50501
234,well-informed,27,904,-54942
235,well-informed,27,328,-72450
236,well-informed,27,603,-43654
237,well-informed,27,519,-59447
238,well-informed,27,542,-38623
239,well-informed,27,470,-109281
240,well-informed,27,492,-115048
241,well-informed,27,655,-65140
242,well-informed,27,546,-53497
243,well-informed,27,730,-52465
244,well-informed,27,336,-74614
245,well-informed,27,430,-54759
246,well-informed,27,432,-40185
247,well-informed,27,795,-93358
248,well-informed,27,493,-67790
249,well-informed,27,389,-60976
250,informed,27,962,-97509
251,informed,27,617,-73650
252,informed,27,243,-82224
253,informed,27,1008,-73650
254,informed,27,1173,-138022
255,informed,27,342,-76015
256,informed,27,197,-44455
257,informed,27,456,-107198
258,informed,27,498,-126169
259,informed,27,598,-48027
260,informed,27,508,-33712
261,informed,27,380,-63444
262,informed,27,526,-48462
263,informed,27,230,-133901
264,informed,27,317,-113529
265,informed,27,483,-28441
266,informed,27,409,-68641
267,informed,27,804,-68723
268,informed,27,687,-45547
269,informed,27,300,-77448
270,informed,27,404,-94615
271,informed,27,514,-87786
272,informed,27,608,-89528
273,informed,27,553,-61671
274,informed,27,344,-60536
275,informed,27,724,-52057
276,informed,27,626,-75397
277,informed,27,827,-58899
278,informed,27,370,-71862
279,informed,27,322,-62295
280,informed,27,372,-56551
281,informed,27,293,-60698
282,informed,27,693,-129451
283,informed,27,661,-50501
284,informed,27,904,-54942
285,informed,27,328,-72450
286,informed,27,603,-43654
287,informed,27,519,-59447
288,informed,27,542,-38623
289,informed,27,470,-109281
290,informed,27,492,-115048
291,informed,27,655,-65140
292,informed,27,546,-53497
293,informed,27,730,-52465
294,informed,27,336,-74614
295,informed,27,430,-54759
296,informed,27,432,-40185
297,informed,27,795,-93358
298,informed,27,493,-67790
299,informed,27,389,-60976
300,round-robin,27,962,-97509
301,round-robin,27,617,-73650
302,round-robin,27,243,-82224
303,round-robin,27,1008,-73650
304,round-robin,27,1173,-138022
305,round-robin,27,342,-76015
306,round-robin,27,197,-44455
307,round-robin,27,456,-107198
308,round-robin,27,498,-126169
309,round-robin,27,598,-48027
310,round-robin,27,508,-33712
311,round-robin,27,380,-63444
312,round-robin,27,526,-48462
313,round-robin,27,230,-133901
314,round-robin,27,317,-113529
315,round-robin,27,483,-28441
316,round-robin,27,409,-68641
317,round-robin,27,804,-68723
318,round-robin,27,687,-45547
319,round-robin,27,300,-77448
320,round-robin,27,404,-94615
321,round-robin,27,514,-87786
322,round-robin,27,608,-89528
323,round-robin,27,553,-61671
324,round-robin,27,344,-60536
325,round-robin,27,724,-52057
326,round-robin,27,626,-75397
327,round-robin,27,827,-58899
328,round-robin,27,370,-71862
329,round-robin,27,322,-62295
330,round-robin,27,372,-56551
331,round-robin,27,293,-60698
332,round-robin,27,693,-129451
333,round-robin,27,661,-50501
334,round-robin,27,904,-54942
335,round-robin,27,328,-72450
336,round-robin,27,603,-43654
337,round-robin,27,519,-59447
338,round-robin,27,542,-38623
