,Attacker,Graph size,Returns,Episode lengths
0,well-informed,7,-1132.0,146.0
1,well-informed,7,-40642.0,169.0
2,well-informed,7,-15351.0,178.0
3,well-informed,7,-898.0,20.0
4,well-informed,7,-2008.0,278.0
5,well-informed,27,-76015.0,342.0
6,well-informed,27,-44455.0,197.0
7,well-informed,27,-107198.0,456.0
8,well-informed,27,-126169.0,498.0
9,well-informed,27,-48027.0,598.0
10,well-informed,44,-137140.0,551.0
11,well-informed,44,-131876.0,808.0
12,well-informed,44,-124001.0,834.0
13,well-informed,44,-123777.0,703.0
14,well-informed,44,-74593.0,723.0
15,well-informed,56,-112629.0,1020.0
16,well-informed,56,-96419.0,502.0
17,well-informed,56,-133667.0,354.0
18,well-informed,56,-109580.0,749.0
19,well-informed,56,-76855.0,474.0
20,well-informed,62,-173383.0,482.0
21,well-informed,62,-93237.0,829.0
22,well-informed,62,-147103.0,539.0
23,well-informed,62,-101406.0,394.0
24,well-informed,62,-116283.0,563.0
25,well-informed,65,-146806.0,613.0
26,well-informed,65,-170101.0,439.0
27,well-informed,65,-115793.0,848.0
28,well-informed,65,-241443.0,935.0
29,well-informed,65,-111659.0,592.0
30,well-informed,78,-173085.0,1591.0
31,well-informed,78,-155491.0,1210.0
32,well-informed,78,-209994.0,1540.0
33,well-informed,78,-115303.0,873.0
34,well-informed,78,-148754.0,1299.0
35,informed,7,-1132.0,146.0
36,informed,7,-40642.0,169.0
37,informed,7,-15351.0,178.0
38,informed,7,-898.0,20.0
39,informed,7,-2008.0,278.0
40,informed,27,-76015.0,342.0
41,informed,27,-44455.0,197.0
42,informed,27,-107198.0,456.0
43,informed,27,-126169.0,498.0
44,informed,27,-48027.0,598.0
45,informed,44,-137140.0,551.0
46,informed,44,-131876.0,808.0
47,informed,44,-124001.0,834.0
48,informed,44,-123777.0,703.0
49,informed,44,-74593.0,723.0
50,informed,56,-112629.0,1020.0
51,informed,56,-96419.0,502.0
52,informed,56,-133667.0,354.0
53,informed,56,-109580.0,749.0
54,informed,56,-76855.0,474.0
55,informed,62,-173383.0,482.0
56,informed,62,-93237.0,829.0
57,informed,62,-147103.0,539.0
58,informed,62,-101406.0,394.0
59,informed,62,-116283.0,563.0
60,informed,65,-146806.0,613.0
61,informed,65,-170101.0,439.0
62,informed,65,-115793.0,848.0
63,informed,65,-241443.0,935.0
64,informed,65,-111659.0,592.0
65,informed,78,-173085.0,1591.0
66,informed,78,-155491.0,1210.0
67,informed,78,-209994.0,1540.0
68,informed,78,-115303.0,873.0
69,informed,78,-148754.0,1299.0
70,round-robin,7,-1132.0,146.0
71,round-robin,7,-40642.0,169.0
72,round-robin,7,-15351.0,178.0
73,round-robin,7,-898.0,20.0
74,round-robin,7,-2008.0,278.0
75,round-robin,27,-76015.0,342.0
76,round-robin,27,-44455.0,197.0
77,round-robin,27,-107198.0,456.0
78,round-robin,27,-126169.0,498.0
79,round-robin,27,-48027.0,598.0
80,round-robin,44,-137140.0,551.0
81,round-robin,44,-131876.0,808.0
82,round-robin,44,-124001.0,834.0
83,round-robin,44,-123777.0,703.0
84,round-robin,44,-74593.0,723.0
85,round-robin,56,-112629.0,1020.0
86,round-robin,56,-96419.0,502.0
87,round-robin,56,-133667.0,354.0
88,round-robin,56,-109580.0,749.0
89,round-robin,56,-76855.0,474.0
90,round-robin,62,-173383.0,482.0
91,round-robin,62,-93237.0,829.0
92,round-robin,62,-147103.0,539.0
93,round-robin,62,-101406.0,394.0
94,round-robin,62,-116283.0,563.0
95,round-robin,65,-146806.0,613.0
96,round-robin,65,-170101.0,439.0
97,round-robin,65,-115793.0,848.0
98,round-robin,65,-241443.0,935.0
99,round-robin,65,-111659.0,592.0
100,round-robin,78,-173085.0,1591.0
101,round-robin,78,-155491.0,1210.0
102,round-robin,78,-209994.0,1540.0
103,round-robin,78,-115303.0,873.0
104,round-robin,78,-148754.0,1299.0
105,random,7,-1132.0,146.0
106,random,7,-40642.0,169.0
107,random,7,-15351.0,178.0
108,random,7,-898.0,20.0
109,random,7,-2008.0,278.0
110,random,27,-76015.0,342.0
111,random,27,-44455.0,197.0
112,random,27,-107198.0,456.0
113,random,27,-126169.0,498.0
114,random,27,-48027.0,598.0
115,random,44,-137140.0,551.0
116,random,44,-131876.0,808.0
117,random,44,-124001.0,834.0
118,random,44,-123777.0,703.0
119,random,44,-74593.0,723.0
120,random,56,-112629.0,1020.0
121,random,56,-96419.0,502.0
122,random,56,-133667.0,354.0
123,random,56,-109580.0,749.0
124,random,56,-76855.0,474.0
125,random,62,-173383.0,482.0
126,random,62,-93237.0,829.0
127,random,62,-147103.0,539.0
128,random,62,-101406.0,394.0
129,random,62,-116283.0,563.0
130,random,65,-146806.0,613.0
131,random,65,-170101.0,439.0
132,random,65,-115793.0,848.0
133,random,65,-241443.0,935.0
134,random,65,-111659.0,592.0
135,random,78,-173085.0,1591.0
136,random,78,-155491.0,1210.0
137,random,78,-209994.0,1540.0
138,random,78,-115303.0,873.0
139,random,78,-148754.0,1299.0
140,well-informed,7,-3350.0,56.0
141,well-informed,7,-9983.0,88.0
142,well-informed,7,-10978.0,172.0
143,well-informed,7,-38152.0,138.0
144,well-informed,7,-3238.0,220.0
145,well-informed,27,-33712.0,508.0
146,well-informed,27,-63444.0,380.0
147,well-informed,27,-48462.0,526.0
148,well-informed,27,-133901.0,230.0
149,well-informed,27,-113529.0,317.0
150,well-informed,44,-43743.0,662.0
151,well-informed,44,-87472.0,787.0
152,well-informed,44,-68515.0,1306.0
153,well-informed,44,-100386.0,1051.0
154,well-informed,44,-160155.0,1077.0
155,well-informed,56,-169844.0,357.0
156,well-informed,56,-86260.0,513.0
157,well-informed,56,-55037.0,510.0
158,well-informed,56,-152052.0,414.0
159,well-informed,56,-102839.0,426.0
160,well-informed,62,-95230.0,395.0
161,well-informed,62,-107539.0,516.0
162,well-informed,62,-112131.0,608.0
163,well-informed,62,-122391.0,408.0
164,well-informed,62,-126551.0,569.0
165,well-informed,65,-140134.0,367.0
166,well-informed,65,-126136.0,572.0
167,well-informed,65,-136427.0,663.0
168,well-informed,65,-137021.0,717.0
169,well-informed,65,-160714.0,1075.0
170,well-informed,78,-140099.0,756.0
171,well-informed,78,-78997.0,1472.0
172,well-informed,78,-147181.0,1622.0
173,well-informed,78,-135367.0,1055.0
174,well-informed,78,-114625.0,1024.0
175,informed,7,-3350.0,56.0
176,informed,7,-9983.0,88.0
177,informed,7,-10978.0,172.0
178,informed,7,-38152.0,138.0
179,informed,7,-3238.0,220.0
180,informed,27,-33712.0,508.0
181,informed,27,-63444.0,380.0
182,informed,27,-48462.0,526.0
183,informed,27,-133901.0,230.0
184,informed,27,-113529.0,317.0
185,informed,44,-43743.0,662.0
186,informed,44,-87472.0,787.0
187,informed,44,-68515.0,1306.0
188,informed,44,-100386.0,1051.0
189,informed,44,-160155.0,1077.0
190,informed,56,-169844.0,357.0
191,informed,56,-86260.0,513.0
192,informed,56,-55037.0,510.0
193,informed,56,-152052.0,414.0
194,informed,56,-102839.0,426.0
195,informed,62,-95230.0,395.0
196,informed,62,-107539.0,516.0
197,informed,62,-112131.0,608.0
198,informed,62,-122391.0,408.0
199,informed,62,-126551.0,569.0
200,informed,65,-140134.0,367.0
201,informed,65,-126136.0,572.0
202,informed,65,-136427.0,663.0
203,informed,65,-137021.0,717.0
204,informed,65,-160714.0,1075.0
205,informed,78,-140099.0,756.0
206,informed,78,-78997.0,1472.0
207,informed,78,-147181.0,1622.0
208,informed,78,-135367.0,1055.0
209,informed,78,-114625.0,1024.0
210,round-robin,7,-3350.0,56.0
211,round-robin,7,-9983.0,88.0
212,round-robin,7,-10978.0,172.0
213,round-robin,7,-38152.0,138.0
214,round-robin,7,-3238.0,220.0
215,round-robin,27,-33712.0,508.0
216,round-robin,27,-63444.0,380.0
217,round-robin,27,-48462.0,526.0
218,round-robin,27,-133901.0,230.0
219,round-robin,27,-113529.0,317.0
220,round-robin,44,-43743.0,662.0
221,round-robin,44,-87472.0,787.0
222,round-robin,44,-68515.0,1306.0
223,round-robin,44,-100386.0,1051.0
224,round-robin,44,-160155.0,1077.0
225,round-robin,56,-169844.0,357.0
226,round-robin,56,-86260.0,513.0
227,round-robin,56,-55037.0,510.0
228,round-robin,56,-152052.0,414.0
229,round-robin,56,-102839.0,426.0
230,round-robin,62,-95230.0,395.0
231,round-robin,62,-107539.0,516.0
232,round-robin,62,-112131.0,608.0
233,round-robin,62,-122391.0,408.0
234,round-robin,62,-126551.0,569.0
235,round-robin,65,-140134.0,367.0
236,round-robin,65,-126136.0,572.0
237,round-robin,65,-136427.0,663.0
238,round-robin,65,-137021.0,717.0
239,round-robin,65,-160714.0,1075.0
240,round-robin,78,-140099.0,756.0
241,round-robin,78,-78997.0,1472.0
242,round-robin,78,-147181.0,1622.0
243,round-robin,78,-135367.0,1055.0
244,round-robin,78,-114625.0,1024.0
245,random,7,-3350.0,56.0
246,random,7,-9983.0,88.0
247,random,7,-10978.0,172.0
248,random,7,-38152.0,138.0
249,random,7,-3238.0,220.0
250,random,27,-33712.0,508.0
251,random,27,-63444.0,380.0
252,random,27,-48462.0,526.0
253,random,27,-133901.0,230.0
254,random,27,-113529.0,317.0
255,random,44,-43743.0,662.0
256,random,44,-87472.0,787.0
257,random,44,-68515.0,1306.0
258,random,44,-100386.0,1051.0
259,random,44,-160155.0,1077.0
260,random,56,-169844.0,357.0
261,random,56,-86260.0,513.0
262,random,56,-55037.0,510.0
263,random,56,-152052.0,414.0
264,random,56,-102839.0,426.0
265,random,62,-95230.0,395.0
266,random,62,-107539.0,516.0
267,random,62,-112131.0,608.0
268,random,62,-122391.0,408.0
269,random,62,-126551.0,569.0
270,random,65,-140134.0,367.0
271,random,65,-126136.0,572.0
272,random,65,-136427.0,663.0
273,random,65,-137021.0,717.0
274,random,65,-160714.0,1075.0
275,random,78,-140099.0,756.0
276,random,78,-78997.0,1472.0
277,random,78,-147181.0,1622.0
278,random,78,-135367.0,1055.0
279,random,78,-114625.0,1024.0
280,well-informed,7,-9069.0,73.0
281,well-informed,7,-6583.0,59.0
282,well-informed,7,-8431.0,31.0
283,well-informed,7,-17150.0,77.0
284,well-informed,7,-362.0,33.0
285,well-informed,27,-28441.0,483.0
286,well-informed,27,-68641.0,409.0
287,well-informed,27,-68723.0,804.0
288,well-informed,27,-45547.0,687.0
289,well-informed,27,-77448.0,300.0
290,well-informed,44,-109360.0,618.0
291,well-informed,44,-59311.0,760.0
292,well-informed,44,-90564.0,528.0
293,well-informed,44,-139871.0,746.0
294,well-informed,44,-37992.0,1147.0
295,well-informed,56,-96214.0,489.0
296,well-informed,56,-146594.0,468.0
297,well-informed,56,-84651.0,616.0
298,well-informed,56,-235144.0,453.0
299,well-informed,56,-117206.0,450.0
300,well-informed,62,-107575.0,448.0
301,well-informed,62,-208639.0,314.0
302,well-informed,62,-121130.0,384.0
303,well-informed,62,-70613.0,465.0
304,well-informed,62,-233333.0,343.0
305,well-informed,65,-130650.0,382.0
306,well-informed,65,-219113.0,658.0
307,well-informed,65,-65033.0,681.0
308,well-informed,65,-157392.0,443.0
309,well-informed,65,-95315.0,862.0
310,well-informed,78,-197644.0,710.0
311,well-informed,78,-139596.0,984.0
312,well-informed,78,-175116.0,818.0
313,well-informed,78,-193021.0,1165.0
314,well-informed,78,-107715.0,1325.0
315,informed,7,-9069.0,73.0
316,informed,7,-6583.0,59.0
317,informed,7,-8431.0,31.0
318,informed,7,-17150.0,77.0
319,informed,7,-362.0,33.0
320,informed,27,-28441.0,483.0
321,informed,27,-68641.0,409.0
322,informed,27,-68723.0,804.0
323,informed,27,-45547.0,687.0
324,informed,27,-77448.0,300.0
325,informed,44,-109360.0,618.0
326,informed,44,-59311.0,760.0
327,informed,44,-90564.0,528.0
328,informed,44,-139871.0,746.0
329,informed,44,-37992.0,1147.0
330,informed,56,-96214.0,489.0
331,informed,56,-146594.0,468.0
332,informed,56,-84651.0,616.0
333,informed,56,-235144.0,453.0
334,informed,56,-117206.0,450.0
335,informed,62,-107575.0,448.0
336,informed,62,-208639.0,314.0
337,informed,62,-121130.0,384.0
338,informed,62,-70613.0,465.0
339,informed,62,-233333.0,343.0
340,informed,65,-130650.0,382.0
341,informed,65,-219113.0,658.0
342,informed,65,-65033.0,681.0
343,informed,65,-157392.0,443.0
344,informed,65,-95315.0,862.0
345,informed,78,-197644.0,710.0
346,informed,78,-139596.0,984.0
347,informed,78,-175116.0,818.0
348,informed,78,-193021.0,1165.0
349,informed,78,-107715.0,1325.0
350,round-robin,7,-9069.0,73.0
351,round-robin,7,-6583.0,59.0
352,round-robin,7,-8431.0,31.0
353,round-robin,7,-17150.0,77.0
354,round-robin,7,-362.0,33.0
355,round-robin,27,-28441.0,483.0
356,round-robin,27,-68641.0,409.0
357,round-robin,27,-68723.0,804.0
358,round-robin,27,-45547.0,687.0
359,round-robin,27,-77448.0,300.0
360,round-robin,44,-109360.0,618.0
361,round-robin,44,-59311.0,760.0
362,round-robin,44,-90564.0,528.0
363,round-robin,44,-139871.0,746.0
364,round-robin,44,-37992.0,1147.0
365,round-robin,56,-96214.0,489.0
366,round-robin,56,-146594.0,468.0
367,round-robin,56,-84651.0,616.0
368,round-robin,56,-235144.0,453.0
369,round-robin,56,-117206.0,450.0
370,round-robin,62,-107575.0,448.0
371,round-robin,62,-208639.0,314.0
372,round-robin,62,-121130.0,384.0
373,round-robin,62,-70613.0,465.0
374,round-robin,62,-233333.0,343.0
375,round-robin,65,-130650.0,382.0
376,round-robin,65,-219113.0,658.0
377,round-robin,65,-65033.0,681.0
378,round-robin,65,-157392.0,443.0
379,round-robin,65,-95315.0,862.0
380,round-robin,78,-197644.0,710.0
381,round-robin,78,-139596.0,984.0
382,round-robin,78,-175116.0,818.0
383,round-robin,78,-193021.0,1165.0
384,round-robin,78,-107715.0,1325.0
385,random,7,-9069.0,73.0
386,random,7,-6583.0,59.0
387,random,7,-8431.0,31.0
388,random,7,-17150.0,77.0
389,random,7,-362.0,33.0
390,random,27,-28441.0,483.0
391,random,27,-68641.0,409.0
392,random,27,-68723.0,804.0
393,random,27,-45547.0,687.0
394,random,27,-77448.0,300.0
395,random,44,-109360.0,618.0
396,random,44,-59311.0,760.0
397,random,44,-90564.0,528.0
398,random,44,-139871.0,746.0
399,random,44,-37992.0,1147.0
400,random,56,-96214.0,489.0
401,random,56,-146594.0,468.0
402,random,56,-84651.0,616.0
403,random,56,-235144.0,453.0
404,random,56,-117206.0,450.0
405,random,62,-107575.0,448.0
406,random,62,-208639.0,314.0
407,random,62,-121130.0,384.0
408,random,62,-70613.0,465.0
409,random,62,-233333.0,343.0
410,random,65,-130650.0,382.0
411,random,65,-219113.0,658.0
412,random,65,-65033.0,681.0
413,random,65,-157392.0,443.0
414,random,65,-95315.0,862.0
415,random,78,-197644.0,710.0
416,random,78,-139596.0,984.0
417,random,78,-175116.0,818.0
418,random,78,-193021.0,1165.0
419,random,78,-107715.0,1325.0
420,well-informed,7,-22387.0,99.0
421,well-informed,7,-30.0,75.0
422,well-informed,7,-1721.0,80.0
423,well-informed,7,-598.0,123.0
424,well-informed,7,-475.0,327.0
425,well-informed,27,-30244.0,601.0
426,well-informed,27,-101233.0,213.0
427,well-informed,27,-78818.0,456.0
428,well-informed,27,-125226.0,414.0
429,well-informed,27,-113953.0,388.0
430,well-informed,44,-120035.0,1063.0
431,well-informed,44,-104707.0,869.0
432,well-informed,44,-125447.0,1306.0
433,well-informed,44,-120640.0,757.0
434,well-informed,44,-96378.0,609.0
435,well-informed,56,-110579.0,630.0
436,well-informed,56,-59337.0,678.0
437,well-informed,56,-159750.0,377.0
438,well-informed,56,-140238.0,386.0
439,well-informed,56,-98561.0,659.0
440,well-informed,62,-115234.0,603.0
441,well-informed,62,-82323.0,409.0
442,well-informed,62,-175901.0,789.0
443,well-informed,62,-124702.0,366.0
444,well-informed,62,-142833.0,678.0
445,well-informed,65,-101866.0,663.0
446,well-informed,65,-129602.0,507.0
447,well-informed,65,-107742.0,647.0
448,well-informed,65,-137556.0,681.0
449,well-informed,65,-73799.0,478.0
450,well-informed,78,-61377.0,1514.0
451,well-informed,78,-187909.0,572.0
452,well-informed,78,-190976.0,1257.0
453,well-informed,78,-113228.0,1196.0
454,well-informed,78,-140485.0,900.0
455,informed,7,-22387.0,99.0
456,informed,7,-30.0,75.0
457,informed,7,-1721.0,80.0
458,informed,7,-598.0,123.0
459,informed,7,-475.0,327.0
460,informed,27,-30244.0,601.0
461,informed,27,-101233.0,213.0
462,informed,27,-78818.0,456.0
463,informed,27,-125226.0,414.0
464,informed,27,-113953.0,388.0
465,informed,44,-120035.0,1063.0
466,informed,44,-104707.0,869.0
467,informed,44,-125447.0,1306.0
468,informed,44,-120640.0,757.0
469,informed,44,-96378.0,609.0
470,informed,56,-110579.0,630.0
471,informed,56,-59337.0,678.0
472,informed,56,-159750.0,377.0
473,informed,56,-140238.0,386.0
474,informed,56,-98561.0,659.0
475,informed,62,-115234.0,603.0
476,informed,62,-82323.0,409.0
477,informed,62,-175901.0,789.0
478,informed,62,-124702.0,366.0
479,informed,62,-142833.0,678.0
480,informed,65,-101866.0,663.0
481,informed,65,-129602.0,507.0
482,informed,65,-107742.0,647.0
483,informed,65,-137556.0,681.0
484,informed,65,-73799.0,478.0
485,informed,78,-61377.0,1514.0
486,informed,78,-187909.0,572.0
487,informed,78,-190976.0,1257.0
488,informed,78,-113228.0,1196.0
489,informed,78,-140485.0,900.0
490,round-robin,7,-22387.0,99.0
491,round-robin,7,-30.0,75.0
492,round-robin,7,-1721.0,80.0
493,round-robin,7,-598.0,123.0
494,round-robin,7,-475.0,327.0
495,round-robin,27,-30244.0,601.0
496,round-robin,27,-101233.0,213.0
497,round-robin,27,-78818.0,456.0
498,round-robin,27,-125226.0,414.0
499,round-robin,27,-113953.0,388.0
500,round-robin,44,-120035.0,1063.0
501,round-robin,44,-104707.0,869.0
502,round-robin,44,-125447.0,1306.0
503,round-robin,44,-120640.0,757.0
504,round-robin,44,-96378.0,609.0
505,round-robin,56,-110579.0,630.0
506,round-robin,56,-59337.0,678.0
507,round-robin,56,-159750.0,377.0
508,round-robin,56,-140238.0,386.0
509,round-robin,56,-98561.0,659.0
510,round-robin,62,-115234.0,603.0
511,round-robin,62,-82323.0,409.0
512,round-robin,62,-175901.0,789.0
513,round-robin,62,-124702.0,366.0
514,round-robin,62,-142833.0,678.0
515,round-robin,65,-101866.0,663.0
516,round-robin,65,-129602.0,507.0
517,round-robin,65,-107742.0,647.0
518,round-robin,65,-137556.0,681.0
519,round-robin,65,-73799.0,478.0
520,round-robin,78,-61377.0,1514.0
521,round-robin,78,-187909.0,572.0
522,round-robin,78,-190976.0,1257.0
523,round-robin,78,-113228.0,1196.0
524,round-robin,78,-140485.0,900.0
525,random,7,-22387.0,99.0
526,random,7,-30.0,75.0
527,random,7,-1721.0,80.0
528,random,7,-598.0,123.0
529,random,7,-475.0,327.0
530,random,27,-30244.0,601.0
531,random,27,-101233.0,213.0
532,random,27,-78818.0,456.0
533,random,27,-125226.0,414.0
534,random,27,-113953.0,388.0
535,random,44,-120035.0,1063.0
536,random,44,-104707.0,869.0
537,random,44,-125447.0,1306.0
538,random,44,-120640.0,757.0
539,random,44,-96378.0,609.0
540,random,56,-110579.0,630.0
541,random,56,-59337.0,678.0
542,random,56,-159750.0,377.0
543,random,56,-140238.0,386.0
544,random,56,-98561.0,659.0
545,random,62,-115234.0,603.0
546,random,62,-82323.0,409.0
547,random,62,-175901.0,789.0
548,random,62,-124702.0,366.0
549,random,62,-142833.0,678.0
550,random,65,-101866.0,663.0
551,random,65,-129602.0,507.0
552,random,65,-107742.0,647.0
553,random,65,-137556.0,681.0
554,random,65,-73799.0,478.0
555,random,78,-61377.0,1514.0
556,random,78,-187909.0,572.0
557,random,78,-190976.0,1257.0
558,random,78,-113228.0,1196.0
559,random,78,-140485.0,900.0
560,well-informed,7,-3901.0,489.0
561,well-informed,7,-10359.0,267.0
562,well-informed,7,-4477.0,98.0
563,well-informed,7,-5585.0,10.0
564,well-informed,7,-6401.0,57.0
565,well-informed,27,-52057.0,724.0
566,well-informed,27,-75397.0,626.0
567,well-informed,27,-58899.0,827.0
568,well-informed,27,-71862.0,370.0
569,well-informed,27,-62295.0,322.0
570,well-informed,44,-78247.0,517.0
571,well-informed,44,-86334.0,816.0
572,well-informed,44,-214275.0,766.0
573,well-informed,44,-41876.0,714.0
574,well-informed,44,-123419.0,788.0
575,well-informed,56,-90843.0,606.0
576,well-informed,56,-123632.0,500.0
577,well-informed,56,-145414.0,337.0
578,well-informed,56,-83813.0,486.0
579,well-informed,56,-88337.0,388.0
580,well-informed,62,-73085.0,454.0
581,well-informed,62,-150703.0,423.0
582,well-informed,62,-115702.0,882.0
583,well-informed,62,-209511.0,945.0
584,well-informed,62,-148667.0,483.0
585,well-informed,65,-150712.0,689.0
586,well-informed,65,-132819.0,766.0
587,well-informed,65,-126313.0,1026.0
588,well-informed,65,-136583.0,594.0
589,well-informed,65,-94867.0,588.0
590,well-informed,78,-141068.0,897.0
591,well-informed,78,-92492.0,1174.0
592,well-informed,78,-79474.0,607.0
593,well-informed,78,-150610.0,1004.0
594,well-informed,78,-155006.0,676.0
595,informed,7,-3901.0,489.0
596,informed,7,-10359.0,267.0
597,informed,7,-4477.0,98.0
598,informed,7,-5585.0,10.0
599,informed,7,-6401.0,57.0
600,informed,27,-52057.0,724.0
601,informed,27,-75397.0,626.0
602,informed,27,-58899.0,827.0
603,informed,27,-71862.0,370.0
604,informed,27,-62295.0,322.0
605,informed,44,-78247.0,517.0
606,informed,44,-86334.0,816.0
607,informed,44,-214275.0,766.0
608,informed,44,-41876.0,714.0
609,informed,44,-123419.0,788.0
610,informed,56,-90843.0,606.0
611,informed,56,-123632.0,500.0
612,informed,56,-145414.0,337.0
613,informed,56,-83813.0,486.0
614,informed,56,-88337.0,388.0
615,informed,62,-73085.0,454.0
616,informed,62,-150703.0,423.0
617,informed,62,-115702.0,882.0
618,informed,62,-209511.0,945.0
619,informed,62,-148667.0,483.0
620,informed,65,-150712.0,689.0
621,informed,65,-132819.0,766.0
622,informed,65,-126313.0,1026.0
623,informed,65,-136583.0,594.0
624,informed,65,-94867.0,588.0
625,informed,78,-141068.0,897.0
626,informed,78,-92492.0,1174.0
627,informed,78,-79474.0,607.0
628,informed,78,-150610.0,1004.0
629,informed,78,-155006.0,676.0
630,round-robin,7,-3901.0,489.0
631,round-robin,7,-10359.0,267.0
632,round-robin,7,-4477.0,98.0
633,round-robin,7,-5585.0,10.0
634,round-robin,7,-6401.0,57.0
635,round-robin,27,-52057.0,724.0
636,round-robin,27,-75397.0,626.0
637,round-robin,27,-58899.0,827.0
638,round-robin,27,-71862.0,370.0
639,round-robin,27,-62295.0,322.0
640,round-robin,44,-78247.0,517.0
641,round-robin,44,-86334.0,816.0
642,round-robin,44,-214275.0,766.0
643,round-robin,44,-41876.0,714.0
644,round-robin,44,-123419.0,788.0
645,round-robin,56,-90843.0,606.0
646,round-robin,56,-123632.0,500.0
647,round-robin,56,-145414.0,337.0
648,round-robin,56,-83813.0,486.0
649,round-robin,56,-88337.0,388.0
650,round-robin,62,-73085.0,454.0
651,round-robin,62,-150703.0,423.0
652,round-robin,62,-115702.0,882.0
653,round-robin,62,-209511.0,945.0
654,round-robin,62,-148667.0,483.0
655,round-robin,65,-150712.0,689.0
656,round-robin,65,-132819.0,766.0
657,round-robin,65,-126313.0,1026.0
658,round-robin,65,-136583.0,594.0
659,round-robin,65,-94867.0,588.0
660,round-robin,78,-141068.0,897.0
661,round-robin,78,-92492.0,1174.0
662,round-robin,78,-79474.0,607.0
663,round-robin,78,-150610.0,1004.0
664,round-robin,78,-155006.0,676.0
665,random,7,-3901.0,489.0
666,random,7,-10359.0,267.0
667,random,7,-4477.0,98.0
668,random,7,-5585.0,10.0
669,random,7,-6401.0,57.0
670,random,27,-52057.0,724.0
671,random,27,-75397.0,626.0
672,random,27,-58899.0,827.0
673,random,27,-71862.0,370.0
674,random,27,-62295.0,322.0
675,random,44,-78247.0,517.0
676,random,44,-86334.0,816.0
677,random,44,-214275.0,766.0
