,Agent,Graph size,Episode lengths,Returns
0,R2D2,7,76,150
1,R2D2,7,135,268
2,R2D2,7,8,15
3,R2D2,7,146,-16704
4,R2D2,7,138,-13280
5,R2D2,7,41,-7365
6,R2D2,7,13,-17171
7,R2D2,7,61,-24690
8,R2D2,7,123,245
9,R2D2,7,13,25
10,rule-based,7,101,201
11,rule-based,7,78,155
12,rule-based,7,334,667
13,rule-based,7,115,229
14,rule-based,7,58,115
15,rule-based,7,26,51
16,rule-based,7,308,615
17,rule-based,7,352,703
18,rule-based,7,54,107
19,rule-based,7,65,129
20,random,7,62,5
21,random,7,19,1
22,random,7,21,0
23,random,7,7,8
24,random,7,8,2
25,random,7,8,1
26,random,7,20,1
27,random,7,3,0
28,random,7,18,2
29,random,7,4,0
30,R2D2,7,60,119
31,R2D2,7,108,215
32,R2D2,7,20,39
33,R2D2,7,105,209
34,R2D2,7,13,25
35,R2D2,7,17,33
36,R2D2,7,12,23
37,R2D2,7,263,-5725
38,R2D2,7,9,15
39,R2D2,7,75,148
40,rule-based,7,146,291
41,rule-based,7,169,337
42,rule-based,7,178,355
43,rule-based,7,20,39
44,rule-based,7,278,555
45,rule-based,7,293,585
46,rule-based,7,86,171
47,rule-based,7,71,141
48,rule-based,7,170,339
49,rule-based,7,133,265
50,random,7,6,0
51,random,7,10,9
52,random,7,7,0
53,random,7,6,7
54,random,7,9,1
55,random,7,19,2
56,random,7,13,5
57,random,7,4,0
58,random,7,3,0
59,random,7,8,3
60,R2D2,7,22,22
61,R2D2,7,3,3
62,R2D2,7,3,3
63,R2D2,7,14,14
64,R2D2,7,33,33
65,R2D2,7,10,10
66,R2D2,7,22,22
67,R2D2,7,3,3
68,R2D2,7,4,4
69,R2D2,7,16,16
70,rule-based,7,56,111
71,rule-based,7,88,175
72,rule-based,7,172,343
73,rule-based,7,138,275
74,rule-based,7,217,433
75,rule-based,7,18,35
76,rule-based,7,47,93
77,rule-based,7,30,59
78,rule-based,7,19,37
79,rule-based,7,76,151
80,random,7,22,9
81,random,7,3,0
82,random,7,3,0
83,random,7,14,0
84,random,7,33,0
85,random,7,10,0
86,random,7,22,4
87,random,7,3,0
88,random,7,5,8
89,random,7,12,8
90,R2D2,7,19,37
91,R2D2,7,91,180
92,R2D2,7,15,-19177
93,R2D2,7,76,-22099
94,R2D2,7,48,95
95,R2D2,7,27,53
96,R2D2,7,14,-755
97,R2D2,7,26,-4152
98,R2D2,7,33,65
99,R2D2,7,41,-838
100,rule-based,7,73,145
101,rule-based,7,59,117
102,rule-based,7,31,61
103,rule-based,7,77,153
104,rule-based,7,33,65
105,rule-based,7,29,57
106,rule-based,7,142,283
107,rule-based,7,106,211
108,rule-based,7,37,73
109,rule-based,7,99,197
110,random,7,15,0
111,random,7,5,2
112,random,7,12,4
113,random,7,4,6
114,random,7,3,2
115,random,7,6,8
116,random,7,10,0
117,random,7,12,1
118,random,7,9,4
119,random,7,14,2
120,R2D2,7,18,35
121,R2D2,7,55,-15665
122,R2D2,7,43,4
123,R2D2,7,138,274
124,R2D2,7,12,21
125,R2D2,7,17,-6843
126,R2D2,7,5,8
127,R2D2,7,74,146
128,R2D2,7,40,-5457
129,R2D2,7,32,54
130,rule-based,7,154,307
131,rule-based,7,79,157
132,rule-based,7,195,389
133,rule-based,7,74,147
134,rule-based,7,181,361
135,rule-based,7,88,175
136,rule-based,7,287,573
137,rule-based,7,119,237
138,rule-based,7,142,283
139,rule-based,7,79,157
140,random,7,3,4
141,random,7,43,2
142,random,7,15,0
143,random,7,4,0
144,random,7,16,0
145,random,7,7,2
146,random,7,12,1
147,random,7,8,2
148,random,7,17,3
149,random,7,7,0
150,R2D2,7,33,65
151,R2D2,7,54,-10082
152,R2D2,7,23,44
153,R2D2,7,12,23
154,R2D2,7,65,129
155,R2D2,7,21,-2437
156,R2D2,7,47,92
157,R2D2,7,45,89
158,R2D2,7,62,122
159,R2D2,7,62,-7052
160,rule-based,7,489,977
161,rule-based,7,267,533
162,rule-based,7,98,195
163,rule-based,7,10,19
164,rule-based,7,57,113
165,rule-based,7,21,41
166,rule-based,7,120,239
167,rule-based,7,36,71
168,rule-based,7,97,193
169,rule-based,7,23,45
170,random,7,7,1
171,random,7,13,0
172,random,7,9,0
173,random,7,3,2
174,random,7,9,0
175,random,7,17,1
176,random,7,16,0
177,random,7,7,3
178,random,7,58,12
179,random,7,8,2
180,R2D2,7,56,111
181,R2D2,7,47,93
182,R2D2,7,28,55
183,R2D2,7,25,16
184,R2D2,7,80,158
185,R2D2,7,6,9
186,R2D2,7,31,20
187,R2D2,7,43,84
188,R2D2,7,70,138
189,R2D2,7,16,-3151
190,rule-based,7,120,239
191,rule-based,7,44,87
192,rule-based,7,21,41
193,rule-based,7,212,423
194,rule-based,7,564,1127
195,rule-based,7,152,303
196,rule-based,7,17,33
197,rule-based,7,145,289
198,rule-based,7,32,63
199,rule-based,7,128,255
200,random,7,13,3
201,random,7,9,0
202,random,7,3,4
203,random,7,6,2
204,random,7,15,0
205,random,7,5,0
206,random,7,3,3
207,random,7,5,0
208,random,7,3,3
209,random,7,7,0
210,R2D2,7,97,-3792
211,R2D2,7,54,107
212,R2D2,7,170,-3357
213,R2D2,7,131,260
214,R2D2,7,44,-8166
215,R2D2,7,138,275
216,R2D2,7,47,93
217,R2D2,7,19,37
218,R2D2,7,30,58
219,R2D2,7,103,-431
220,rule-based,7,97,193
221,rule-based,7,102,203
222,rule-based,7,130,259
223,rule-based,7,98,195
224,rule-based,7,59,117
225,rule-based,7,28,55
226,rule-based,7,171,341
227,rule-based,7,250,499
228,rule-based,7,50,99
229,rule-based,7,59,117
230,random,7,10,1
231,random,7,23,13
232,random,7,7,1
233,random,7,4,7
234,random,7,36,2
235,random,7,16,0
236,random,7,3,4
237,random,7,12,0
238,random,7,6,6
239,random,7,3,0
240,R2D2,7,65,-5182
241,R2D2,7,34,66
242,R2D2,7,53,-17673
243,R2D2,7,92,183
244,R2D2,7,18,25
245,R2D2,7,18,34
246,R2D2,7,11,20
247,R2D2,7,23,-4090
248,R2D2,7,30,-28736
249,R2D2,7,46,-421
250,rule-based,7,65,129
251,rule-based,7,160,319
252,rule-based,7,85,169
253,rule-based,7,265,529
254,rule-based,7,170,339
255,rule-based,7,123,245
256,rule-based,7,16,31
257,rule-based,7,104,207
258,rule-based,7,81,161
259,rule-based,7,79,157
260,random,7,5,8
261,random,7,12,3
262,random,7,18,0
263,random,7,3,2
264,random,7,15,2
265,random,7,7,0
266,random,7,7,0
267,random,7,32,0
268,random,7,6,0
269,random,7,12,7
270,R2D2,7,37,72
271,R2D2,7,71,140
272,R2D2,7,63,38
273,R2D2,7,158,315
274,R2D2,7,83,164
275,R2D2,7,68,134
276,R2D2,7,75,148
277,R2D2,7,41,80
278,R2D2,7,11,21
279,R2D2,7,49,96
280,rule-based,7,214,427
281,rule-based,7,70,139
282,rule-based,7,58,115
283,rule-based,7,224,447
284,rule-based,7,185,369
285,rule-based,7,94,187
286,rule-based,7,174,347
287,rule-based,7,87,173
288,rule-based,7,28,55
289,rule-based,7,13,25
290,random,7,5,2
291,random,7,23,4
292,random,7,7,2
293,random,7,12,0
294,random,7,10,4
295,random,7,14,0
296,random,7,9,3
297,random,7,12,1
298,random,7,8,2
299,random,7,15,2
300,R2D2,27,126,-30575
301,R2D2,27,107,-34290
302,R2D2,27,139,-34021
303,R2D2,27,387,-59698
304,R2D2,27,163,-22529
305,R2D2,27,253,-91498
306,R2D2,27,49,-19320
307,R2D2,27,155,-82613
308,R2D2,27,26,-25075
309,R2D2,27,82,-34158
310,rule-based,27,217,709
311,rule-based,27,130,453
312,rule-based,27,90,324
313,rule-based,27,104,455
314,rule-based,27,229,815
315,rule-based,27,177,634
316,rule-based,27,112,463
317,rule-based,27,172,696
318,rule-based,27,87,373
319,rule-based,27,233,781
320,random,27,6,14
321,random,27,21,12
322,random,27,9,11
323,random,27,12,11
324,random,27,21,19
325,random,27,7,16
326,random,27,12,2
327,random,27,5,6
328,random,27,4,8
329,random,27,15,20
330,R2D2,27,59,-4278
331,R2D2,27,28,60
332,R2D2,27,62,-15342
333,R2D2,27,334,-62085
334,R2D2,27,359,-61079
335,R2D2,27,117,-53575
336,R2D2,27,72,-20740
337,R2D2,27,257,-36600
338,R2D2,27,59,-30193
339,R2D2,27,329,-52930
340,rule-based,27,113,461
341,rule-based,27,44,185
342,rule-based,27,173,617
343,rule-based,27,248,859
344,rule-based,27,66,276
345,rule-based,27,108,377
346,rule-based,27,61,240
347,rule-based,27,79,337
348,rule-based,27,58,262
349,rule-based,27,165,566
350,random,27,16,36
351,random,27,6,5
352,random,27,6,15
353,random,27,6,14
354,random,27,20,7
355,random,27,16,31
356,random,27,6,2
357,random,27,12,12
358,random,27,6,7
359,random,27,18,28
360,R2D2,27,124,-22180
361,R2D2,27,202,-7244
362,R2D2,27,219,640
363,R2D2,27,67,-6636
364,R2D2,27,265,-57485
365,R2D2,27,156,-69503
366,R2D2,27,119,-51079
367,R2D2,27,108,-32640
368,R2D2,27,136,-18391
369,R2D2,27,71,-44603
370,rule-based,27,182,637
371,rule-based,27,88,402
372,rule-based,27,217,756
373,rule-based,27,65,295
374,rule-based,27,84,301
375,rule-based,27,160,567
376,rule-based,27,111,418
377,rule-based,27,152,524
378,rule-based,27,163,638
379,rule-based,27,50,171
380,random,27,17,15
381,random,27,3,9
382,random,27,25,3
383,random,27,51,7
384,random,27,5,10
385,random,27,9,7
386,random,27,34,28
387,random,27,6,15
388,random,27,7,9
389,random,27,4,9
390,R2D2,27,243,-12991
391,R2D2,27,155,-9999
392,R2D2,27,156,-5931
393,R2D2,27,128,-34579
394,R2D2,27,105,-46269
395,R2D2,27,84,-38505
396,R2D2,27,155,-36855
397,R2D2,27,104,-14425
398,R2D2,27,499,-103200
399,R2D2,27,72,-35014
400,rule-based,27,219,712
401,rule-based,27,66,307
402,rule-based,27,115,386
403,rule-based,27,79,316
404,rule-based,27,293,1030
405,rule-based,27,126,572
406,rule-based,27,452,1402
407,rule-based,27,65,271
408,rule-based,27,304,1052
409,rule-based,27,175,680
410,random,27,9,9
411,random,27,9,22
412,random,27,7,13
413,random,27,5,2
414,random,27,10,6
415,random,27,21,31
416,random,27,6,6
417,random,27,6,12
418,random,27,4,7
419,random,27,28,15
420,R2D2,27,77,-3169
421,R2D2,27,111,-30331
422,R2D2,27,311,-43691
423,R2D2,27,70,-13879
424,R2D2,27,40,-2316
425,R2D2,27,272,-18127
426,R2D2,27,99,-2384
